energy (keV),Effective Area (cm^2)
3.16,11.4210259603407
3.17,10.6387698538372
3.18,9.92367190445206
3.19,9.26304170131192
3.2,8.6431124358708
3.21,8.06248355010845
3.22,7.51954229428984
3.23,7.02359875086402
3.24,6.57061757713468
3.25,6.14708527236915
3.26,5.75131766262279
3.27,5.3816513114121
3.28,5.04052688486703
3.29,4.73135934652183
3.3,4.44188865289707
3.31,4.17085488279241
3.32,3.91706390374533
3.33,3.67938852606319
3.34,3.46680388794012
3.35,3.26719706837143
3.36,3.07957826446125
3.37,2.90318867442533
3.38,2.73731776547788
3.39,2.58530336515135
3.4,2.44460565553939
3.41,2.31184265332429
3.42,2.18653840353076
3.43,2.06824715452546
3.44,1.9571352168849
3.45,1.85607003933038
3.46,1.76035964138827
3.47,1.66970296914984
3.48,1.58381720733822
3.49,1.50243661894395
3.5,1.42725365662177
3.51,1.35732781574172
3.52,1.29087126731913
3.53,1.22770311458192
3.54,1.16765266070185
3.55,1.11055878597358
3.56,1.05833688254272
3.57,1.00876973885536
3.58,0.961523787527981
3.59,0.916486175137353
3.6,0.873549951602664
3.61,0.832915161003535
3.62,0.795597509652
3.63,0.759934557316096
3.64,0.725850975602543
3.65,0.693275097089784
3.66,0.662138720419518
3.67,0.632781846488879
3.68,0.605486586958959
3.69,0.579343794651313
3.7,0.554304154820624
3.71,0.530320580669341
3.72,0.507348103505488
3.73,0.485728839239696
3.74,0.465558635785344
3.75,0.44620004764828
3.76,0.427620393058745
3.77,0.409788362684892
3.78,0.392673957134332
3.79,0.376494128960385
3.8,0.36135256574479
3.81,0.34679580200897
3.82,0.33280149944797
3.83,0.319348198547761
3.84,0.306415281435902
3.85,0.294122698622565
3.86,0.28270590455173
3.87,0.271711186212388
3.88,0.261123284371677
3.89,0.250927500655628
3.9,0.241109675630174
3.91,0.231665935792412
3.92,0.222919600732579
3.93,0.214485498302522
3.94,0.206352838927235
3.95,0.198511207442942
3.96,0.190950549457964
3.97,0.183661158231513
3.98,0.176840990704905
3.99,0.170343516127458
4,0.164070097378637
