wave_A  modfactor_lo  modfactor_hi
40.256000  0.94512800  0.92592320
40.288000  0.94514400  0.92591360
40.320000  0.94516000  0.92590400
40.352000  0.94517600  0.92589440
40.384000  0.94519200  0.92588480
40.416000  0.94520800  0.92587520
40.448000  0.94522400  0.92586560
40.480000  0.94524000  0.92585600
40.512000  0.94525600  0.92584640
40.544000  0.94527200  0.92583680
40.576000  0.94528800  0.92582720
40.608000  0.94530400  0.92581760
40.640000  0.94532000  0.92580800
40.672000  0.94533600  0.92579840
40.704000  0.94535200  0.92578880
40.736000  0.94536800  0.92577920
40.768000  0.94538400  0.92576960
40.800000  0.94540000  0.92576000
40.832000  0.94541600  0.92575040
40.864000  0.94543200  0.92574080
40.896000  0.94544800  0.92573120
40.928000  0.94546400  0.92572160
40.960000  0.94548000  0.92571200
40.992000  0.94549600  0.92570240
41.024000  0.94551200  0.92569280
41.056000  0.94552800  0.92568320
41.088000  0.94554400  0.92567360
41.120000  0.94556000  0.92566400
41.152000  0.94557600  0.92565440
41.184000  0.94559200  0.92564480
41.216000  0.94560800  0.92563520
41.248000  0.94562400  0.92562560
41.280000  0.94564000  0.92561600
41.312000  0.94565600  0.92560640
41.344000  0.94567200  0.92559680
41.376000  0.94568800  0.92558720
41.408000  0.94570400  0.92557760
41.440000  0.94572000  0.92556800
41.472000  0.94573600  0.92555840
41.504000  0.94575200  0.92554880
41.536000  0.94576800  0.92553920
41.568000  0.94578400  0.92552960
41.600000  0.94580000  0.92552000
41.632000  0.94581600  0.92551040
41.664000  0.94583200  0.92550080
41.696000  0.94584800  0.92549120
41.728000  0.94586400  0.92548160
41.760000  0.94588000  0.92547200
41.792000  0.94589600  0.92546240
41.824000  0.94591200  0.92545280
41.856000  0.94592800  0.92544320
41.888000  0.94594400  0.92543360
41.920000  0.94596000  0.92542400
41.952000  0.94597600  0.92541440
41.984000  0.94599200  0.92540480
42.016000  0.94600800  0.92539520
42.048000  0.94602400  0.92538560
42.080000  0.94604000  0.92537600
42.112000  0.94605600  0.92536640
42.144000  0.94607200  0.92535680
42.176000  0.94608800  0.92534720
42.208000  0.94610400  0.92533760
42.240000  0.94612000  0.92532800
42.272000  0.94613600  0.92531840
42.304000  0.94615200  0.92530880
42.336000  0.94616800  0.92529920
42.368000  0.94618400  0.92528960
42.400000  0.94620000  0.92528000
42.432000  0.94621600  0.92527040
42.464000  0.94623200  0.92526080
42.496000  0.94624800  0.92525120
42.528000  0.94626400  0.92524160
42.560000  0.94628000  0.92523200
42.592000  0.94629600  0.92522240
42.624000  0.94631200  0.92521280
42.656000  0.94632800  0.92520320
42.688000  0.94634400  0.92519360
42.720000  0.94636000  0.92518400
42.752000  0.94637600  0.92517440
42.784000  0.94639200  0.92516480
42.816000  0.94640800  0.92515520
42.848000  0.94642400  0.92514560
42.880000  0.94644000  0.92513600
42.912000  0.94645600  0.92512640
42.944000  0.94647200  0.92511680
42.976000  0.94648800  0.92510720
43.008000  0.94650400  0.92509760
43.040000  0.94652000  0.92508800
43.072000  0.94653600  0.92507840
43.104000  0.94655200  0.92506880
43.136000  0.94656800  0.92505920
43.168000  0.94658400  0.92504960
43.200000  0.94660000  0.92504000
43.232000  0.94661600  0.92503040
43.264000  0.94663200  0.92502080
43.296000  0.94664800  0.92501120
43.328000  0.94666400  0.92500160
43.360000  0.94668000  0.92499200
43.392000  0.94669600  0.92498240
43.424000  0.94671200  0.92497280
43.456000  0.94672800  0.92496320
43.488000  0.94674400  0.92495360
43.520000  0.94676000  0.92494400
43.552000  0.94677600  0.92493440
43.584000  0.94679200  0.92492480
43.616000  0.94680800  0.92491520
43.648000  0.94682400  0.92490560
43.680000  0.94684000  0.92489600
43.712000  0.94685600  0.92488640
43.744000  0.94687200  0.92487680
43.776000  0.94688800  0.92486720
43.808000  0.94690400  0.92485760
43.840000  0.94692000  0.92484800
43.872000  0.94693600  0.92483840
43.904000  0.94695200  0.92482880
